SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Ni15x60mm,Nickel 99.95% 10 grams,Ni,Nickel,28.0,Other,7.5,4.0,Active,Yes,"ampules, class:mid, purity:3N, size:small",
,Luciteria Gift Card — The Perfect Elemental Gift,,,,Lucite,,0.0,Active,No,gift,Could not map to element
,Luciteria Gift Card — The Perfect Elemental Gift,,,,Lucite,,0.0,Active,No,gift,Could not map to element
,Luciteria Gift Card — The Perfect Elemental Gift,,,,Lucite,,0.0,Active,No,gift,Could not map to element
,Luciteria Gift Card — The Perfect Elemental Gift,,,,Lucite,,0.0,Active,No,gift,Could not map to element
,Luciteria Gift Card — The Perfect Elemental Gift,,,,Lucite,,0.0,Active,No,gift,Could not map to element
3529142_21541,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21542,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21543,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21544,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21545,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21546,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21547,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22103,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22104,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22105,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22106,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22107,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22108,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_22109,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17693,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17694,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17695,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17696,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17697,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17698,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17699,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21520,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21521,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21522,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21523,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21524,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21525,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21526,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21271,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21272,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21273,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21274,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21275,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21276,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21277,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21250,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21251,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21252,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21253,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21254,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21255,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_21256,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_15124,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_15125,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_15126,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_15127,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_15128,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_16335,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
3529142_17508,"Luciteria Science T-Shirt — Elemental Style, Everyday Wear",,,,Lucite,,9999.0,Active,No,,Could not map to element
4562085_1320,White glossy mug,,,,Other,,9999.0,Active,No,,Could not map to element
Ag10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Ag,Silver,47.0,10mm Cube,1.0,5.0,Active,Yes,"box, displays, size:standard",
As10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,As,Arsenic,33.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
