"ID","Handle","Command","Title","Tags","Tags Command","Status","URL","Total Inventory Qty","Variant ID","Variant SKU","Variant Inventory Qty"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062395557","case10mm","0"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062428325","set10mm_5","9"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062461093","set10mm_15","5"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062493861","set10mm_30","0"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062526629","set10mm_50","0"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062559397","set10mm_75","0"
"10566113231013","density-cube-sets","MERGE","Density Cube Sets","displays, form:cube, purity:none, size:large","REPLACE","Active","https://luciteria.com/products/density-cube-sets","14","47806062592165","set10mm_82","0"
"10566113296549","strontium-metal-cube-99-5","MERGE","Strontium Metal Cube 99.5%","class:reactive, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/strontium-metal-cube-99-5","24","47820859375781","Sr10mm_sg","0"
"10566113296549","strontium-metal-cube-99-5","MERGE","Strontium Metal Cube 99.5%","class:reactive, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/strontium-metal-cube-99-5","24","47820859408549","Sr10mm","24"
"10566113296549","strontium-metal-cube-99-5","MERGE","Strontium Metal Cube 99.5%","class:reactive, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/strontium-metal-cube-99-5","24","47820859441317","Sr25.4mm","0"
"10566113394853","beryllium-mirror-cube-99-5","MERGE","Beryllium Mirror Cube 99.5%","class:mid, form:cube, out-of-stock, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/beryllium-mirror-cube-99-5","41","47820938903717","Be10.1mm","9"
"10566113394853","beryllium-mirror-cube-99-5","MERGE","Beryllium Mirror Cube 99.5%","class:mid, form:cube, out-of-stock, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/beryllium-mirror-cube-99-5","41","47843368763557","Be10mm_mp","0"
"10566113394853","beryllium-mirror-cube-99-5","MERGE","Beryllium Mirror Cube 99.5%","class:mid, form:cube, out-of-stock, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/beryllium-mirror-cube-99-5","41","47820938936485","Be10mm","32"
"10566113394853","beryllium-mirror-cube-99-5","MERGE","Beryllium Mirror Cube 99.5%","class:mid, form:cube, out-of-stock, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/beryllium-mirror-cube-99-5","41","47820938969253","Be25.4mm","0"
"10566113460389","rhodium-metal-cube-99-95","MERGE","Rhodium Metal Cube 99.95%","class:precious, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/rhodium-metal-cube-99-95","0","47820858032293","Rh10.1mm_0.1g","0"
"10566113460389","rhodium-metal-cube-99-95","MERGE","Rhodium Metal Cube 99.95%","class:precious, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/rhodium-metal-cube-99-95","0","47820858065061","Rh10mm_mp","0"
"10566113525925","selenium-metal-cube-99-99","MERGE","Selenium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/selenium-metal-cube-99-99","78","47820943884453","Se10.1mm","0"
"10566113525925","selenium-metal-cube-99-99","MERGE","Selenium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/selenium-metal-cube-99-99","78","47820943917221","Se10mm","78"
"10566113525925","selenium-metal-cube-99-99","MERGE","Selenium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/selenium-metal-cube-99-99","78","47820943949989","Se25.4mm","0"
"10566113558693","gallium-metal-cube-99-99","MERGE","Gallium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gallium-metal-cube-99-99","339","47820940837029","Ga10.1mm","9"
"10566113558693","gallium-metal-cube-99-99","MERGE","Gallium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gallium-metal-cube-99-99","339","47820940869797","Ga10mm","320"
"10566113558693","gallium-metal-cube-99-99","MERGE","Gallium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gallium-metal-cube-99-99","339","47820940902565","Ga10mm+cold","10"
"10566113558693","gallium-metal-cube-99-99","MERGE","Gallium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gallium-metal-cube-99-99","339","47820940935333","Ga25.4mm","0"
"10566113558693","gallium-metal-cube-99-99","MERGE","Gallium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gallium-metal-cube-99-99","339","47820940968101","Ga25.4mm+cold","0"
"10566113624229","thulium-metal-cube-99-9","MERGE","Thulium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/thulium-metal-cube-99-9","184","47820944900261","Tm10.1mm","0"
"10566113624229","thulium-metal-cube-99-9","MERGE","Thulium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/thulium-metal-cube-99-9","184","47820944933029","Tm10mm","177"
"10566113624229","thulium-metal-cube-99-9","MERGE","Thulium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/thulium-metal-cube-99-9","184","47820944965797","Tm25.4mm","7"
"10566113656997","boron-cube-99-95","MERGE","Boron Cube 99.95%","class:common, form:cube, purity:3N, size:small","REPLACE","Active","https://luciteria.com/products/boron-cube-99-95","50","47820853969061","B10.1mm","9"
"10566113656997","boron-cube-99-95","MERGE","Boron Cube 99.95%","class:common, form:cube, purity:3N, size:small","REPLACE","Active","https://luciteria.com/products/boron-cube-99-95","50","47820854001829","B10mm","41"
"10566113656997","boron-cube-99-95","MERGE","Boron Cube 99.95%","class:common, form:cube, purity:3N, size:small","REPLACE","Active","https://luciteria.com/products/boron-cube-99-95","50","47820854034597","B25.4mm","0"
"10566113689765","gold-mirror-cube-99-99","MERGE","Gold Mirror Cube 99.99%","class:precious, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gold-mirror-cube-99-99","0","47820855279781","Au10.1mm_0.1g","0"
"10566113689765","gold-mirror-cube-99-99","MERGE","Gold Mirror Cube 99.99%","class:precious, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/gold-mirror-cube-99-99","0","47820855312549","Au10.1mm_1g","0"
